,avg_iou,median_iou,success_50,success_75,fps,frames,energy_j,energy_wh,time_s
uav_person4_2,0.8988785387117147,0.905336278757948,100.0,98.63123993558777,18.425841493153,1242,1863.0,0.5175,67.40533399581909
uav_person5_1,0.8831988446057947,0.8886944029300752,100.0,98.85844748858447,18.482409980787292,876,1314.0,0.365,47.396416425704956
uav_person5_2,0.890608578285073,0.9004645134432593,100.0,99.4281045751634,18.516690684768022,1224,1836.0,0.51,66.10252451896667
uav_person6,0.9019552167110783,0.9117585139087344,100.0,99.77777777777777,18.3922237627166,900,1350.0,0.375,48.93372392654419
uav_person7_1,0.807813873236343,0.8552810573944969,94.39102564102564,89.74358974358975,18.408481331096493,1248,1872.0,0.52,67.794837474823
uav_person7_2,0.8923667234217098,0.9070824256792946,99.87745098039215,97.18137254901961,18.26126457181393,816,1224.0,0.34,44.68474769592285
uav_person8_1,0.8588453634483934,0.9330462922307007,92.36499068901304,91.43389199255121,18.087348391689915,1074,1611.0,0.4475,59.37852120399475
uav_person8_2,0.9388634469740603,0.9464238162489605,100.0,100.0,18.413881028784566,450,675.0,0.1875,24.438085556030273
uav_person9,0.807822294624527,0.8735052445286399,94.24242424242424,83.18181818181817,18.290300145814804,660,990.0,0.275,36.08470034599304
uav_truck1,0.9091473834980356,0.9145425445887456,100.0,99.56709956709958,17.90862642304759,462,693.0,0.1925,25.7976233959198
uav_truck2,0.8328761538272634,0.8468470773941343,99.73958333333334,87.76041666666666,18.273035037150095,384,576.0,0.16,21.01457142829895
uav_truck3,0.8315921056301427,0.8349967490422843,100.0,91.76029962546816,18.40811818537453,534,801.0,0.2225,29.00894021987915
uav_truck4_1,0.7290914087078796,0.7378351453738637,98.95833333333334,45.13888888888889,19.741789050858422,576,864.0,0.24,29.176687002182007
uav_truck4_2,0.8388945099345453,0.8472048460301278,99.12280701754386,91.95906432748538,18.520146439937797,684,1026.0,0.285,36.93275332450867
uav_uav1_1,0.5762943124274644,0.7759587133961363,69.1119691119691,55.5984555984556,19.26415493161097,1554,2331.0,0.6475,80.66795587539673
uav_uav1_2,0.6681512037070385,0.8300036156643212,77.61557177615572,66.66666666666666,19.076260559308608,822,1233.0,0.3425,43.090206146240234
uav_uav1_3,0.24345841503659585,0.0,30.72289156626506,20.080321285140563,19.15100314443015,996,1494.0,0.415,52.00771951675415
uav_uav2,0.44641102214030115,0.48,46.21212121212121,6.8181818181818175,20.48897135246135,132,198.0,0.055,6.442490339279175
uav_uav3,0.4830535987611509,0.6054448515916149,64.01515151515152,20.454545454545457,19.21921799162329,264,396.0,0.11,13.736250877380371
uav_uav4,0.15012477757041118,0.0027793833471906836,17.307692307692307,5.769230769230769,18.77778374707447,156,234.0,0.065,8.307689666748047
uav_uav5,0.68778931880894,0.7028646358772206,92.7536231884058,35.507246376811594,19.189152276972756,138,207.0,0.0575,7.191563129425049
uav_uav6,0.5344695130332857,0.6269695270078186,73.14814814814815,12.962962962962962,18.953403693401484,108,162.0,0.045,5.698184967041016
uav_uav7,0.15496030859349322,0.0,20.698924731182796,8.60215053763441,19.052047936818184,372,558.0,0.155,19.52546000480652
uav_uav8,0.09638709229026753,0.0,10.0,6.666666666666667,18.826874479229346,300,450.0,0.125,15.93466830253601
uav_wakeboard1,0.8449136117400877,0.8537246661955821,100.0,88.09523809523809,18.44168233346145,420,630.0,0.175,22.774494886398315
uav_wakeboard10,0.7415918339216814,0.76745587272139,96.7948717948718,55.34188034188035,18.548442263266942,468,702.0,0.195,25.231229305267334
uav_wakeboard2,0.8202598206689495,0.8302732982915433,99.4535519125683,81.01092896174863,18.648721715483116,732,1098.0,0.305,39.25202012062073
uav_wakeboard3,0.6895289789601782,0.7193893868265409,84.30656934306569,41.72749391727494,18.751681666637904,822,1233.0,0.3425,43.83606839179993
uav_wakeboard4,0.8395772814456559,0.8571243002198498,99.42528735632183,90.37356321839081,18.728192760281658,696,1044.0,0.29,37.163222789764404
uav_wakeboard5,0.6423750472986189,0.7575019620283596,73.77538829151732,52.1505376344086,19.917613566516586,1674,2511.0,0.6975,84.046213388443
uav_wakeboard6,0.8604323695283578,0.8772653496518754,99.22680412371135,93.21305841924399,18.711103949033493,1164,1746.0,0.485,62.20904994010925
uav_wakeboard7,0.872752536747048,0.8834918749760364,100.0,95.45454545454545,18.246476071136968,198,297.0,0.0825,10.851410388946533
uav_wakeboard8,0.8279784142706567,0.8398036627423833,99.93514915693905,84.24124513618678,18.67936273940572,1542,2313.0,0.6425,82.55099606513977
uav_wakeboard9,0.7904837991628396,0.8003521425052433,99.15254237288136,76.55367231638418,18.656298167121616,354,531.0,0.1475,18.974825382232666
