,avg_iou,median_iou,success_50,success_75,fps,frames,battery_start,battery_end,energy_consumed_j,energy_consumed_wh,ostrack_only_energy_j,energy_saved_j,energy_saved_percent,ostrack_frames,siamapn_frames,skip_frames,mode_switches,time_s
uav_person5_1,0.8881617309307313,0.896969091416073,100.0,97.26027397260275,64.76129599994275,876,65.78078912531365,64.26491549005691,81.85717630386353,0.02273810452885098,1314.0,1232.1428236961365,93.77038232086275,0,876,0,1,13.526597738265991
uav_person5_2,0.872195022307062,0.8741967336027187,100.0,98.44771241830065,66.67166087979956,1224,61.17897493715158,59.13323635930887,110.46988320350647,0.030686078667640684,1836.0,1725.5301167964935,93.98312182987438,0,1224,0,1,18.358624696731567
uav_person6,0.9008398524772299,0.9099889891974589,100.0,99.77777777777777,21.781395106815097,900,89.16859268692991,69.76092518251335,1048.0140452384949,0.29111501256624855,1350.0,301.9859547615051,22.369329982333714,795,105,0,1,41.31966733932495
uav_person7_1,0.487072321086476,0.780477967508736,55.52884615384615,53.44551282051282,24.482072552541375,1248,87.04775543075755,67.75608997825957,1041.7499344348907,0.2893749817874697,1872.0,830.2500655651093,44.35096504087122,702,546,0,1,50.97607636451721
uav_person7_2,0.8245015089189419,0.8581939133790089,96.20098039215686,82.72058823529412,34.432555677802824,816,77.74154050573603,69.10477786022652,466.3851828575134,0.12955143968264263,1224.0,757.6148171424866,61.896635387458055,322,494,0,1,23.6985023021698
uav_person8_1,0.7249805113658978,0.8379831843426381,86.77839851024208,75.88454376163874,57.250281149830364,1074,64.99501443246525,62.866855562898515,114.920578956604,0.03192238304350111,1611.0,1496.079421043396,92.86650658245786,0,1074,0,1,18.759733200073242
uav_person8_2,0.8670788330412739,0.8749186385192379,100.0,96.0,56.25394983010887,450,67.03095062131224,66.07269377177606,51.745869874954224,0.01437385274304284,675.0,623.2541301250458,92.33394520371048,0,450,0,1,7.999438285827637
uav_person9,0.8015407272158126,0.862076015904474,94.24242424242424,82.42424242424242,21.27620966776559,660,84.38793703158376,69.84830745740852,785.1399970054626,0.2180944436126285,990.0,204.86000299453735,20.692929595407815,594,66,0,1,31.020562887191772
uav_truck1,0.19331798606516107,0.0,17.74891774891775,13.636363636363635,46.60698371011533,462,70.87590823703749,68.93312310643074,104.91039705276489,0.02914177695910136,693.0,588.0896029472351,84.86141456670059,34,428,0,1,9.912677526473999
uav_truck2,0.8328761538272634,0.8468470773941343,99.73958333333334,87.76041666666666,19.96692944265347,384,88.51055992269762,79.29912681669906,497.41738772392273,0.13817149658997854,576.0,78.58261227607727,13.642814631263414,384,0,0,0,19.231800317764282
uav_truck3,0.7405993358693816,0.7430725853567064,100.0,48.12734082397004,35.36976854684429,534,74.64058367721539,69.41254049629052,282.31433176994324,0.07842064771387312,801.0,518.6856682300568,64.75476507241657,195,339,0,1,15.097639083862305
uav_truck4_1,0.6287974483744979,0.6443311520219469,80.72916666666666,17.881944444444446,53.33285555855465,576,71.19227848908572,69.13739805988848,110.963543176651,0.030823206437958613,864.0,753.036456823349,87.15699731751725,51,525,0,1,10.8000967502594
uav_truck4_2,0.8388945099345453,0.8472048460301278,99.12280701754386,91.95906432748538,19.891232954396703,684,95.26010652154457,78.73079332811739,892.5829124450684,0.24793969790140788,1026.0,133.41708755493164,13.003614771435831,684,0,0,0,34.38700866699219
